INVENTO,INVENTOR,PROFESIONAL_ASIGANDO_AL_INVENTO,EL_PROFESIONAL_ES_JEFE_DEL_AREA,FECHA_CONTRATO_PROFESIONAL,SALARIO,COMISION,AREA_INVEST_DEL_PROF,RANKING,ANIO_DEL_INVENTO,PAIS_DEL_INVENTO,PAIS_DEL_INVENTOR,REGION_DEL_PAIS,CAPITAL,POBLACION_DEL_PAIS,AREA_EN_KM2,FRONTERA_CON,NORTE,SUR,ESTE,OESTE
Aeroplano con motor,Wright bros,JAMES CLERK,,3-Dec-81,950,,Biología,6,1903,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Aerosol,Goodhue,FORD ANALYST,,3-Dec-81,3000,,Química,4,1941,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Aerosol,Goodhue,FORD ANALYST,,3-Dec-81,3000,,Química,4,1941,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Aire acondicionado,Carrier,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Aire acondicionado,Carrier,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Belgica,X,,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Luexenburgo,X,,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Suiza,,,X,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,España,,X,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Luexenburgo,X,,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,España,,X,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Italia,,,X,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Suiza,,,X,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,ALEMANIA,,,X,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Belgica,X,,,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,Italia,,,X,
Análisis geométrico,Descartes,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1619,Francia,Francia,Centro Europa,Paris,54652000,210040,ALEMANIA,,,X,
Arado de discos,Hardy,JAMES CLERK,,3-Dec-81,950,,Biología,6,1896,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Arado de discos,Hardy,JAMES CLERK,,3-Dec-81,950,,Biología,6,1896,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Energía,9,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Energía,9,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Arado de hierro fundido,Newbold,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1797,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Aspiradora,Spangler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1907,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Aspiradora,Spangler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1907,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Republica Checa,,,X,
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,BOSNIA,,,X,
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Dinamarca,X,,,
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Holanda,,,,X
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Belgica,,,,X
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Luexenburgo,,,,X
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Austria,,X,,
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Francia,,,,X
Aspirina,Dresser,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Suiza,,X,,
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Republica Checa,,,X,
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Austria,,X,,
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Francia,,,,X
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Belgica,,,,X
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Dinamarca,X,,,
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,BOSNIA,,,X,
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Holanda,,,,X
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Luexenburgo,,,,X
Automóvil a gasolina,Daimler,JAMES CLERK,,3-Dec-81,950,,Biología,6,1887,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Suiza,,X,,
Automóvil de vapor,Roper,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Automóvil de vapor,Roper,JAMES CLERK,,3-Dec-81,950,,Biología,6,1889,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Automóvil eléctrico,Morrison,JAMES CLERK,,3-Dec-81,950,,Biología,6,1892,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Automóvil eléctrico,Morrison,JAMES CLERK,,3-Dec-81,950,,Biología,6,1892,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Bacteria,Leeuwenhoek,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1676,Holanda,Holanda,Europa,Amsterdam,14374000,16464,Belgica,,X,,
Bacteria,Leeuwenhoek,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1676,Holanda,Holanda,Europa,Amsterdam,14374000,16464,ALEMANIA,,,X,
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Barco de vapor,Symington,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1802,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Química,4,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Medicina,8,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Biología,6,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Energía,9,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Mecánica,6,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Mecánica,6,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Energía,9,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Biología,6,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Medicina,8,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Barra Lumínica,Franklin,SCOTT ANALYST,,9-Dec-82,3000,,Química,4,1752,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Barómetro,Torricelli,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1643,Italia,Italia,Centro Europa,Roma,568330000,116303,Croacia,,,X,
Barómetro,Torricelli,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1643,Italia,Italia,Centro Europa,Roma,568330000,116303,Suiza,X,,,
Barómetro,Torricelli,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1643,Italia,Italia,Centro Europa,Roma,568330000,116303,Francia,,,,X
Barómetro,Torricelli,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1643,Italia,Italia,Centro Europa,Roma,568330000,116303,Austria,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Croacia,,,X,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Suiza,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Francia,,,,X
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Suiza,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Francia,,,,X
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Suiza,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Francia,,,,X
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Austria,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Suiza,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Electrónica,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Croacia,,,X,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Francia,,,,X
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Austria,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Biología,6,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Croacia,,,X,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Austria,X,,,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Medicina,8,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Croacia,,,X,
Batería eléctrica,Volta,TURNER SALESMAN,,8-Sep-81,1500,,Química,4,1800,Italia,Italia,Centro Europa,Roma,568330000,116303,Austria,X,,,
Bicicleta,Starley,JAMES CLERK,,3-Dec-81,950,,Biología,6,1884,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Bicicleta,Starley,JAMES CLERK,,3-Dec-81,950,,Biología,6,1884,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Republica Checa,,,X,
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Belgica,,,,X
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,BOSNIA,,,X,
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Dinamarca,X,,,
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Holanda,,,,X
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Luexenburgo,,,,X
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Austria,,X,,
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Francia,,,,X
Bomba de aire,Guericks,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1650,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Suiza,,X,,
Calculo,Newton,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1670,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Calculo,Newton,BLAKE MANAGER,Química,1-May-81,2850,,Electrónica,8,1670,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Republica Checa,,,X,
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Suiza,,X,,
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Luexenburgo,,,,X
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Holanda,,,,X
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,BOSNIA,,,X,
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Dinamarca,X,,,
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Belgica,,,,X
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Francia,,,,X
Celda fotoeléctrica,Elster,JAMES CLERK,,3-Dec-81,950,,Biología,6,1895,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Austria,,X,,
Celofán,Brandenberger,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,pakistan,pakistan,Cercano Oriente,Islamabad,94140000,307374,India,,,X,
Celofán,Brandenberger,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,pakistan,pakistan,Cercano Oriente,Islamabad,94140000,307374,China,X,,,
Celofán,Brandenberger,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,pakistan,pakistan,Cercano Oriente,Islamabad,94140000,307374,Afghanistan,X,,,
Celofán,Brandenberger,JAMES CLERK,,3-Dec-81,950,,Biología,6,1911,pakistan,pakistan,Cercano Oriente,Islamabad,94140000,307374,Iran,,,,X
Ciclotrón,Lawrence,FORD ANALYST,,3-Dec-81,3000,,Química,4,1930,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Ciclotrón,Lawrence,FORD ANALYST,,3-Dec-81,3000,,Química,4,1930,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Cine sonoro,Warner Bros,FORD ANALYST,,3-Dec-81,3000,,Química,4,1927,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Cine sonoro,Warner Bros,FORD ANALYST,,3-Dec-81,3000,,Química,4,1927,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Cinta magnética,Poulsen,JAMES CLERK,,3-Dec-81,950,,Biología,6,1899,Dinamarca,Dinamarca,Centro Europa,Copenhagen,5115000,16633,Suecia,X,,X,
Cinta magnética,Poulsen,JAMES CLERK,,3-Dec-81,950,,Biología,6,1899,Dinamarca,Dinamarca,Centro Europa,Copenhagen,5115000,16633,Noruega,X,,,X
Cinta magnética,Poulsen,JAMES CLERK,,3-Dec-81,950,,Biología,6,1899,Dinamarca,Dinamarca,Centro Europa,Copenhagen,5115000,16633,ALEMANIA,,X,,
Circulación de la sangre,Harvey,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1628,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Circulación de la sangre,Harvey,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1628,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Circulación de la sangre,Harvey,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Matemática,7,1628,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Circulación de la sangre,Harvey,MARTIN SALESMAN,Biología,28-Sep-81,1250,1400,Química,4,1628,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Energía,9,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Belgica,X,,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Luexenburgo,X,,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Suiza,,,X,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,España,,X,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Italia,,,X,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Suiza,,,X,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,ALEMANIA,,,X,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Luexenburgo,X,,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Óptica,2,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Belgica,X,,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,España,,X,,
Combustión interna,Lavoisier,KING PRESIDENT,TODAS,17-Nov-81,5000,,Mecánica,6,1777,Francia,Francia,Centro Europa,Paris,54652000,210040,Italia,,,X,
